,Medicines,Common_Names
66,Chicory,"Chicory is also known as blue sailor's succory, coffeeweed, sugarloaf, wild succory, and witloof."
67,Chinese Cucumber,"Chinese cucumber also is known as Chinese snake gourd, gua-lou, tian-hua-fen, compound Q, Radix trichosanthis, Tolidostena japonica ."
68,Chitosan,"
Chitin
Chitosan Ascorbate
Chitosane
Deacetylated Chitosan
Enzymatic Polychitosamine Hydrolisat
HEP-30
Mono-Carboxymethylated Chitosan
N,O-Sulfated Chitosan
N-Carboxybutyl Chitosan
N-Carboxybutyl Chitosane
O-Sulfated N-Acetylchitosan
Poliglusam
Sulfated N-Carboxymethylchitosan
Trimethyl Chitosan Chloride"
69,Chlorophyll,"
Chlorophyll A
Chlorophyll B
Chlorophyll C
Chlorophyll D
Chlorophylle
Chlorophylle A
Chlorophylle B
Chlorophylle C
Chlorophylle D
Chlorophyllin
Clorofila"
70,Chondroitin,"
Calcium Chondroitin Sulfate
CDS
Chondroitin 4- and 6-Sulfate
Chondroitin 4-Sulfate
Chondroitin Polysulfate
Chondroitin Sodium Sulfate
Chondroitin Sulfate
Chondroitin Sulfuric Acid
Chondroitin Sulphate
Chondroïtine
Chondroïtine Sulfate A
Chondroïtine Sulfate B
Chondroïtine Sulfate C
Chonsurid
CPS
CS
CSA
CSC
GAG
Galactosaminoglucuronoglycan Sulfate
Shark Chondroitin Sulphate
Structum"
71,Chromium,"
Brewer's Yeast
Chrome
Chrome 3+
Chrome FTG 
Chrome III
Chrome Trivalent
Chromic Chloride
Chromium 3+
Chromium Acetate
Chromium Chloride
Chromium III
Chromium III Picolinate
Chromium Nicotinate
Chromium Picolinate
Chromium Polynicotinate
Chromium Proteinate
Chromium Trichloride
Chromium Tripicolinate
Cr
Cr III
Cr3+ 
Cromo
Kali Bichromicum
Potassium Bichromate
Trivalent Chromium"
72,Cinnamon,"

Cinnamomum aromaticum


Cinnamomum cassia


Cinnamomum loureirii


Cinnamomum ramulus


Cinnamomum verum


Cinnamomum zeylanicum

Bastard Cinnamon
Canelle
Canton Cassia
Casse
Cassia
Cassia Aromaticum
Cassia Bark
Cassia Cinnamon
Cassia Lignea
Ceylon Cinnamon
Chinese Cassia
Chinese Cinnamon
Cinnamomon
Cinnamomum
Cinnamon Bark
Cinnamon Essential Oil
Cinnamon Flos
Cinnamonomi Cortex
False Cinnamon
Saigon Cinnamon
True Cinnamon"
73,Clove,"

Caryophyllus aromaticus


Eugenia aromatica


Eugenia caryophyllata


Eugenia caryophyllus


Syzygium aromaticum

Caryophylli Flos
Caryophyllus
Clove Bud
Clove Flower
Clove Flowerbud
Clove Leaf
Clove Oil
Clove Stem
Cloves
Cloves Bud
Ding Xiang
Oil of Clove
Tropical Myrtle"
74,Coleus,"

Coleus amboinicus


Coleus barbatus


Coleus forskohlii


Plectranthus barbatus

Borforsin
Colforsin
Colforsine
Country Borage
Cuban Oregano
Forskohlii
Forskolin
Forskolina
Forskoline
French Thyme
Indian Borage
Indian Mint
Makandi
Soup Mint
Spanish Thyme"
75,Coltsfoot,"Coltsfoot also is known as Folia farfarae,  Filius ante patrem (the son before the father), Kuan Don Hua/Kuandong Hua."
76,Comfrey,"Comfrey also is known as Russian comfrey, knitbone, radix consolidate, bruisewort, blackwort, and slippery root."
77,Cordyceps,"

Cordyceps sinensis (Berk.) Sacc.


Cordyceps sinensis


Ophiocordyceps sinensis

Aweto
Caterpillar Fungus
Caterpillar Mushrooms
Champignon Chenille
Chinese Caterpillar Fungus
Cs-4
Dong Chong Xia Cao
Dong Chong Zia Cao
Keeda Ghas
Keera Jhar
Orphiocordyceps Sinensis
Semitake
Tochukaso
Vegetable Caterpillar
Winter Worm, Summer Grass
XinGanBao
Yarshagumba
Yartsa Gunbu
Yatsa Gunbu
Zhiling"
78,Crampbark,"Cramp bark also is known as guelder rose, snowball, squaw bush, cranberry tree, highbush cranberry, and pimbina."
79,Cranberry,"

Vaccinium macrocarpon


Vaccinium oxycoccos

American Cranberry
Arandano Americano
Arandano Rtepador
Bearberry
Bog Cranberry
Cranberries
Cranberry Extract
Cranberry Fruit
Cranberry Fruit Juice
Cranberry Juice
Cranberry Juice Cocktail
Cranberry Juice Concentrate
Cranberry Powder
Cranberry Powdered Extract
Craneberry
European Cranberry
Grosse Moosbeere
Kranbeere
Large Cranberry
Mossberry
Small Cranberry
Trailing Swamp Cranberry
Tsuru-Kokemomo
Vaccinium"
80,Creatine,"
2-[carbamimidoyl(methyl)amino]acetic acid
Cr
Creatin
Creatina
Creatine Anhydrous
Creatine Citrate
Creatine Ethyl Ester
Creatine Ethyl Ester HCl
Creatine Gluconate
Creatine Hydrochloride
Creatine Malate
Creatine Monohydrate
Creatine Phosphate
Creatine Pyroglutamate
Creatine Pyruvate
CrP
Créatine
Créatine Anhydre
Créatine Citrate
Créatine Ethyl Ester
Créatine Ethyl Ester HCl
Créatine Kré Alkaline
Créatine Malate
Créatine Monohydrate
Créatine Monohydratée
Créatine Pyroglutamate
Créatine Pyruvate
Di-Creatine Malate
Dicreatine Malate
Dicréatine Malate
Glycine
Kre-Alkalyn Pyruvate
Kreatin
Malate de Tricréatine
Methyl Guanidine-Acetic Acid
Methylguanidine Acetic Acid
Methylguanidine-Acetic Acid
N-(Aminoiminomethyl)-N Methyl Glycine
N-(aminoiminométhyl)-N-Méthyl
N-Amidinosarcosine
Phosphocreatine
Phosphocréatine
Tricreatine HCA
Tricreatine Malate
Tricréatine HCA
Tricréatine Malate
Éthyle Ester de Créatine"
81,Cumin,Cumin is also known as cummin.
82,Damiana,"Damiana also is known as herba de la pastora, Mexican damiana, old woman's broom, and rosemary (not to be confused with the spice Rosmarinus officinalis)"
83,Dandelion,"

Leontodon taraxacum


Taraxacum dens-leonis


Taraxacum officinale


Taraxacum platycarpum


Taraxacum vulgares

Blowball
Cankerwort
Cochet
Common Dandelion
Dandelion Extract
Dandelions
Endive Sauvage
Lion's Teeth
Lion's Tooth
Pissenlit
Priest's Crown
Pu Gong Ying
Puffball
Swine Snout
Taraxacum
Wild Endive"
84,Danshen,"Danshen, dan shen, tanshen, tan-shen, Radix Salviae miltiorrhiza, Fu Fang Dan Shen
Trade Names
Fu Fang Dan Shen"
